id,team_a,team_b,timestamp,status,score_a,score_b,first_goal,stage
1,RUS,CZE,2021-05-21 14:15:00,1,,,,Group A
2,GER,ITA,2021-05-21 14:15:00,1,,,,Group B
3,BLR,SVK,2021-05-21 18:15:00,1,,,,Group A
4,CAN,LAT,2021-05-21 18:15:00,1,,,,Group B
5,DEN,SWE,2021-05-22 10:15:00,1,,,,Group A
6,NOR,GER,2021-05-22 10:15:00,1,,,,Group B
7,GBR,RUS,2021-05-22 14:15:00,1,,,,Group A
8,FIN,USA,2021-05-22 14:15:00,1,,,,Group B
9,CZE,SUI,2021-05-22 18:15:00,1,,,,Group A
10,LAT,KAZ,2021-05-22 18:15:00,1,,,,Group B
11,GBR,SCK,2021-05-23 10:15:00,1,,,,Group A
12,NOR,ITA,2021-05-23 10:15:00,1,,,,Group B
13,SWE,BLR,2021-05-23 14:15:00,1,,,,Group A
14,KAZ,FIN,2021-05-23 14:15:00,1,,,,Group B
15,DEN,SUI,2021-05-23 18:15:00,1,,,,Group A
16,CAN,USA,2021-05-23 18:15:00,1,,,,Group B
17,SVK,RUS,2021-05-24 14:15:00,1,,,,Group A
18,LAT,ITA,2021-05-24 14:15:00,1,,,,Group B
19,CZE,BLR,2021-05-24 18:15:00,1,,,,Group A
20,GER,CAN,2021-05-24 18:15:00,1,,,,Group B
21,GBR,DEN,2021-05-25 14:15:00,1,,,,Group A
22,USA,KAZ,2021-05-25 14:15:00,1,,,,Group B
23,SUI,SWE,2021-05-25 18:15:00,1,,,,Group A
24,FIN,NOR,2021-05-25 18:15:00,1,,,,Group B
25,RUS,DEN,2021-05-26 14:15:00,1,,,,Group A
26,KAZ,GER,2021-05-26 14:15:00,1,,,,Group B
27,BLR,GBR,2021-05-26 18:15:00,1,,,,Group A
28,CAN,NOR,2021-05-26 18:15:00,1,,,,Group B
29,SUI,SVK,2021-05-27 14:15:00,1,,,,Group A
30,USA,LAT,2021-05-27 14:15:00,1,,,,Group B
31,SWE,CZE,2021-05-27 18:15:00,1,,,,Group A
32,FIN,ITA,2021-05-27 18:15:00,1,,,,Group B
33,SWE,GBR,2021-05-28 14:15:00,1,,,,Group A
34,KAZ,CAN,2021-05-28 14:15:00,1,,,,Group B
35,DEN,BLR,2021-05-28 18:15:00,1,,,,Group A
36,LAT,NOR,2021-05-28 18:15:00,1,,,,Group B
37,CZE,GBR,2021-05-29 10:15:00,1,,,,Group A
38,ITA,KAZ,2021-05-29 10:15:00,1,,,,Group B
39,SUI,RUS,2021-05-29 14:15:00,1,,,,Group A
40,NOR,USA,2021-05-29 14:15:00,1,,,,Group B
41,SVK,DEN,2021-05-29 18:15:00,1,,,,Group A
42,GER,FIN,2021-05-29 18:15:00,1,,,,Group B
43,BLR,SUI,2021-05-30 14:15:00,1,,,,Group A
44,ITA,CAN,2021-05-30 14:15:00,1,,,,Group B
45,SWE,SVK,2021-05-30 18:15:00,1,,,,Group A
46,FIN,LAT,2021-05-30 18:15:00,1,,,,Group B
47,CZE,DEN,2021-05-31 14:15:00,1,,,,Group A
48,USA,GER,2021-05-31 14:15:00,1,,,,Group B
49,RUS,SWE,2021-05-31 18:15:00,1,,,,Group A
50,NOR,KAZ,2021-05-31 18:15:00,1,,,,Group B
51,SUI,GBR,2021-06-01 10:15:00,1,,,,Group A
52,CAN,FIN,2021-06-01 10:15:00,1,,,,Group B
53,SVK,CZE,2021-06-01 14:15:00,1,,,,Group A
54,ITA,USA,2021-06-01 14:15:00,1,,,,Group B
55,RUS,BLR,2021-06-01 18:15:00,1,,,,Group A
56,GER,LAT,2021-06-01 18:15:00,1,,,,Group B
57,QF,QF,2021-06-03 14:15:00,1,,,,Quarter Final
58,QF,QF,2021-06-03 14:15:00,1,,,,Quarter Final
59,QF,QF,2021-06-03 18:15:00,1,,,,Quarter Final
60,QF,QF,2021-06-03 18:15:00,1,,,,Quarter Final
61,SF,SF,2021-06-05 12:15:00,1,,,,Semi Final
62,SF,SF,2021-06-05 16:15:00,1,,,,Semi Final
63,BMG,BMG,2021-06-06 13:15:00,1,,,,Bronze medal game
64,F,F,2021-06-06 18:15:00,1,,,,Final
